customer_id,first_name,last_name,email,phone,city,signup_date,segment,age,full_name,days_since_signup,total_orders,total_spend,avg_order_value,return_rate,unique_categories,last_purchase_date,first_purchase_date,preferred_channel,days_since_last_purchase,customer_lifetime_days,total_sessions,avg_session_mins,checkout_events,cart_events,preferred_device,cart_to_checkout_rate,total_tickets,high_priority_tickets,avg_csat,avg_resolution_days,R_score,F_score,M_score,RFM_score,rfm_segment,churn_risk
CUST_00001,Arjun,Kumar,user1@email.com,+91-8317251289,Delhi,2020-01-01 00:00:00,Standard,69.0,Arjun Kumar,2301,20,34169.63,1708.4814999999999,0.05,7,2024-06-18,2022-03-01,Mobile App,671,840,51,7.368627450980393,6,3,Android,2.0,1.0,0.0,1.0,2.0,5,5,3,13,Champions,High
CUST_00002,Neha,Singh,user2@email.com,+91-8074915660,Pune,2020-01-01 06:00:00,Basic,44.0,Neha Singh,2301,17,30861.65,1815.3911764705883,0.0,8,2024-05-16,2022-01-06,Mobile App,704,861,48,9.495833333333334,0,8,Android,0.0,2.0,1.0,3.5,2.5,3,3,2,8,Potential Loyalists,Medium
CUST_00003,Meera,Shah,user3@email.com,+91-7983189671,Delhi,2020-01-01 12:00:00,Basic,27.0,Meera Shah,2301,11,26348.02,2395.2745454545457,0.09090909090909091,6,2024-06-03,2022-01-08,In-Store,686,877,30,8.85,8,4,Android,2.0,1.0,0.0,2.0,2.0,4,1,2,7,Potential Loyalists,High
CUST_00004,Vikram,Gupta,user4@email.com,+91-7715299965,Chennai,2020-01-01 18:00:00,Premium,55.0,Vikram Gupta,2300,23,42579.8,1851.2956521739131,0.08695652173913043,8,2024-05-26,2022-01-24,Mobile App,694,853,47,8.668085106382978,3,9,Android,0.3333333333333333,4.0,3.0,3.25,2.5,4,5,4,13,Champions,High
CUST_00005,Arjun,Gupta,user5@email.com,+91-8890186924,Pune,2020-01-02 00:00:00,Basic,61.0,Arjun Gupta,2300,13,29186.38,2245.106153846154,0.07692307692307693,7,2024-04-22,2022-05-29,Mobile App,728,694,43,8.660465116279068,6,6,Android,1.0,1.0,0.0,2.0,0.0,2,1,2,5,At Risk,High
CUST_00006,Pooja,Reddy,user6@email.com,+91-9369111897,Delhi,2020-01-02 06:00:00,Standard,48.0,Pooja Reddy,2300,18,49218.380000000005,2734.3544444444447,0.0,6,2024-05-21,2022-01-14,Mobile App,699,858,45,7.142222222222221,8,11,Android,0.7272727272727273,4.0,0.0,3.75,2.6666666666666665,4,4,5,13,Champions,High
CUST_00007,Rahul,Kumar,user7@email.com,+91-9087913372,Delhi,2020-01-02 12:00:00,Standard,27.0,Rahul Kumar,2300,18,28603.91,1589.1061111111112,0.16666666666666666,6,2024-03-24,2022-01-25,Mobile App,757,789,26,8.961538461538462,0,8,Android,0.0,2.0,0.0,4.5,3.0,2,4,2,8,Potential Loyalists,Medium
CUST_00008,Arjun,Kumar,user8@email.com,+91-8526735515,Mumbai,2020-01-02 18:00:00,Premium,66.0,Arjun Kumar,2299,18,26855.32,1491.9622222222222,0.1111111111111111,7,2024-03-31,2022-03-27,Mobile App,750,735,39,7.356410256410256,4,9,iOS,0.4444444444444444,3.0,2.0,3.67,2.0,2,4,2,8,Potential Loyalists,Medium
CUST_00009,Meera,Joshi,user9@email.com,+91-8259261398,Delhi,2020-01-03 00:00:00,Standard,51.0,Meera Joshi,2299,16,29377.53,1836.095625,0.0625,8,2024-06-18,2022-04-17,Mobile App,671,793,31,8.748387096774193,2,8,iOS,0.25,1.0,1.0,5.0,1.0,5,3,2,10,Loyal Customers,Medium
CUST_00010,Vikram,Nair,user10@email.com,+91-7772919190,Kolkata,2020-01-03 06:00:00,Standard,68.0,Vikram Nair,2299,11,13477.49,1225.2263636363637,0.0,7,2024-05-25,2022-04-04,Mobile App,695,782,31,8.80967741935484,0,7,Desktop,0.0,2.0,0.0,5.0,3.0,4,1,1,6,At Risk,Medium
CUST_00011,Neha,Kumar,user11@email.com,+91-7280983462,Chennai,2020-01-03 12:00:00,Standard,69.0,Neha Kumar,2299,20,42666.06,2133.303,0.15,8,2024-06-06,2022-01-16,Web,683,872,46,7.871739130434783,1,8,Android,0.125,2.0,1.0,3.5,2.5,5,5,4,14,Champions,Medium
CUST_00012,Meera,Patel,user12@email.com,+91-8595525960,Bengaluru,2020-01-03 18:00:00,Basic,23.0,Meera Patel,2298,22,57193.23,2599.6922727272727,0.09090909090909091,8,2024-06-12,2022-01-21,Mobile App,677,873,36,7.883333333333334,2,5,Android,0.4,1.0,0.0,4.0,2.0,5,5,5,15,Champions,Medium
CUST_00013,Meera,Nair,user13@email.com,+91-8761339546,Bengaluru,2020-01-04 00:00:00,Basic,45.0,Meera Nair,2298,15,29986.43,1999.0953333333334,0.06666666666666667,7,2024-05-31,2022-03-12,Mobile App,689,811,39,6.9743589743589745,4,15,Android,0.26666666666666666,1.0,1.0,3.0,3.0,4,2,2,8,Potential Loyalists,Medium
